provider_code,event_at,type,amount,location,status,is_injected_anomaly,scenario_label
nagad_sim,2026-07-08T01:53:17Z,cash_out,2100,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T01:54:14Z,cash_in,500,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:54:31Z,cash_out,1000,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T01:58:01Z,cash_out,350,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T01:59:09Z,cash_out,2000,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T01:59:11Z,cash_out,3650,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:02:07Z,cash_in,3000,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T02:02:58Z,cash_out,3100,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:06:52Z,cash_out,4400,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:13:38Z,cash_out,2700,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:14:00Z,cash_out,3350,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:14:50Z,cash_in,2100,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T02:19:49Z,cash_out,700,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:21:49Z,cash_out,3950,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:27:33Z,cash_in,3350,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T02:28:06Z,cash_out,1950,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T02:28:16Z,cash_out,3150,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:29:30Z,cash_in,1500,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T02:30:20Z,cash_out,1150,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T02:36:57Z,cash_in,1350,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T02:39:19Z,cash_in,1950,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T02:47:11Z,cash_out,1750,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T02:47:52Z,cash_out,1450,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:47:58Z,cash_in,3200,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T02:50:12Z,cash_out,6900,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:50:41Z,cash_out,1500,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T02:52:03Z,cash_in,4800,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T02:52:47Z,cash_in,800,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T02:53:23Z,cash_in,2400,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T02:53:43Z,cash_in,1900,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:04:34Z,cash_out,1850,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:04:36Z,cash_out,16000,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T03:04:42Z,cash_out,2900,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:05:32Z,cash_out,1500,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:07:55Z,cash_out,3300,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:13:09Z,cash_out,550,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:14:37Z,cash_out,1800,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:15:01Z,cash_out,800,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:20:54Z,cash_out,1200,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T03:20:55Z,cash_out,3150,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:21:56Z,cash_out,5000,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:23:18Z,cash_in,1350,"Shahjalal Uposhahar, Sylhet",pending,0,normal
rocket_sim,2026-07-08T03:29:47Z,cash_out,1450,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:32:40Z,cash_out,2950,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:33:36Z,cash_out,1800,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:33:59Z,cash_in,3200,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:37:33Z,cash_in,1050,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:40:26Z,cash_in,5550,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:42:07Z,cash_in,1900,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:42:32Z,cash_out,950,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:44:35Z,cash_in,3050,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:47:32Z,cash_out,4800,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:50:01Z,cash_out,3900,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T03:50:37Z,cash_out,2300,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T03:55:56Z,cash_out,2100,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T03:56:10Z,cash_out,3400,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T04:02:37Z,cash_out,2500,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T04:04:05Z,cash_out,3700,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T04:17:04Z,cash_out,950,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T04:18:21Z,cash_in,4700,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T04:19:24Z,cash_in,1150,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T04:21:42Z,cash_out,5900,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T04:22:35Z,cash_out,2500,"Shahjalal Uposhahar, Sylhet",pending,0,normal
rocket_sim,2026-07-08T04:22:38Z,cash_out,1100,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T04:23:13Z,cash_out,900,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T04:35:06Z,cash_in,3450,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T04:38:19Z,cash_out,4400,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T04:44:20Z,cash_out,2150,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T04:44:54Z,cash_in,2600,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T04:45:09Z,cash_out,1350,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T04:46:31Z,cash_out,3050,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T04:50:40Z,cash_in,1300,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T04:50:50Z,cash_in,3150,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T04:52:48Z,cash_out,400,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T04:54:16Z,cash_out,5650,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T04:55:46Z,cash_out,5200,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T04:56:45Z,cash_out,1300,"Shahjalal Uposhahar, Sylhet",failed,0,normal
rocket_sim,2026-07-08T04:57:05Z,cash_out,1550,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T05:03:46Z,cash_in,3350,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T05:06:20Z,cash_in,1050,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T05:06:46Z,cash_out,1100,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T05:10:46Z,cash_in,4550,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T05:19:13Z,cash_out,1650,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T05:20:16Z,cash_in,3850,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T05:20:21Z,cash_out,1050,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T05:22:31Z,cash_in,5000,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T05:22:58Z,cash_in,950,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T05:26:16Z,cash_out,25000,"Zindabazar, Sylhet",pending,0,normal
bkash_sim,2026-07-08T05:27:34Z,cash_out,2300,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T05:29:27Z,cash_in,1250,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T05:31:50Z,cash_in,1750,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T05:32:31Z,cash_out,1150,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T05:38:45Z,cash_out,3100,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T05:38:53Z,cash_in,1000,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T05:39:03Z,cash_out,1450,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T05:39:24Z,cash_out,3600,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T05:48:05Z,cash_out,12800,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T05:50:52Z,cash_in,1250,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T05:59:29Z,cash_out,1200,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T05:59:30Z,cash_in,3550,"Shahjalal Uposhahar, Sylhet",failed,0,normal
bkash_sim,2026-07-08T06:00:06Z,cash_out,1550,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T06:00:31Z,cash_out,800,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:02:39Z,cash_in,650,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:07:14Z,cash_in,1950,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:10:21Z,cash_out,7250,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T06:13:36Z,cash_out,10750,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T06:14:50Z,cash_out,4400,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:16:02Z,cash_out,3150,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T06:18:29Z,cash_out,3700,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T06:21:48Z,cash_out,1100,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T06:31:17Z,cash_out,2400,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:31:32Z,cash_out,3400,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T06:32:31Z,cash_out,1700,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T06:36:00Z,cash_in,2050,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T06:39:38Z,cash_out,1650,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:42:42Z,cash_in,250,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:48:36Z,cash_out,3050,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T06:49:45Z,cash_in,2650,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T06:51:26Z,cash_in,1350,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:51:43Z,cash_out,2550,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:52:14Z,cash_out,2900,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T06:52:33Z,cash_in,1200,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T06:53:16Z,cash_out,1650,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T06:55:42Z,cash_in,2750,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T06:58:59Z,cash_in,2000,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T07:02:44Z,cash_in,900,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:03:18Z,cash_in,6350,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T07:05:57Z,cash_out,6450,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T07:06:35Z,cash_out,6900,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:07:28Z,cash_in,800,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:07:39Z,cash_in,1300,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T07:08:12Z,cash_in,5900,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:09:00Z,cash_out,2200,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:12:22Z,cash_in,3750,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:12:29Z,cash_in,1050,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:13:40Z,cash_in,5200,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:14:55Z,cash_out,1700,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T07:18:31Z,cash_in,2250,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T07:20:44Z,cash_out,1750,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:21:27Z,cash_out,2600,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T07:23:15Z,cash_out,350,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:25:40Z,cash_in,950,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:26:22Z,cash_out,4400,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T07:28:10Z,cash_in,4900,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:28:39Z,cash_out,2800,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T07:32:26Z,cash_in,8050,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:33:04Z,cash_out,2750,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T07:37:16Z,cash_out,1150,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T07:37:25Z,cash_in,2650,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:37:27Z,cash_out,5700,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:38:51Z,cash_out,1800,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T07:40:33Z,cash_out,3800,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T07:41:56Z,cash_out,3250,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T07:44:52Z,cash_in,1300,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T07:45:27Z,cash_in,4200,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T07:49:47Z,cash_out,1200,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T07:56:10Z,cash_in,2050,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T07:56:17Z,cash_out,200,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T08:01:15Z,cash_out,2050,"Ambarkhana, Sylhet",failed,0,normal
rocket_sim,2026-07-08T08:02:55Z,cash_in,4150,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T08:03:06Z,cash_in,2950,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:04:50Z,cash_out,4550,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:05:10Z,cash_in,2350,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T08:05:11Z,cash_in,1050,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T08:08:10Z,cash_out,2900,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T08:10:29Z,cash_in,3200,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T08:11:01Z,cash_out,1200,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:15:53Z,cash_out,1700,"Shahjalal Uposhahar, Sylhet",pending,0,normal
nagad_sim,2026-07-08T08:19:18Z,cash_out,2250,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:22:43Z,cash_out,3550,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T08:30:08Z,cash_in,4400,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T08:30:51Z,cash_out,1250,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:32:11Z,cash_in,5500,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:32:27Z,cash_out,1150,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T08:36:14Z,cash_in,2250,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T08:38:29Z,cash_out,3100,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:45:06Z,cash_out,2400,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:45:26Z,cash_out,3900,"Zindabazar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T08:50:52Z,cash_in,2300,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:52:57Z,cash_out,2250,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:55:21Z,cash_out,2100,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T08:56:29Z,cash_in,500,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T08:58:02Z,cash_out,1450,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T08:58:05Z,cash_in,850,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T09:00:38Z,cash_in,3800,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:01:23Z,cash_in,2150,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T09:01:31Z,cash_out,3250,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:01:54Z,cash_out,700,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:02:00Z,cash_in,1600,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T09:03:10Z,cash_out,950,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T09:03:17Z,cash_out,2550,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:03:50Z,cash_out,8150,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:04:30Z,cash_in,2400,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:04:38Z,cash_out,750,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T09:04:39Z,cash_out,1600,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T09:04:56Z,cash_in,2200,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:05:14Z,cash_out,600,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:05:31Z,cash_out,1900,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:05:35Z,cash_in,4550,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:05:54Z,cash_out,3750,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:06:44Z,cash_in,3450,"Ambarkhana, Sylhet",completed,0,normal
nagad_sim,2026-07-08T09:06:46Z,cash_out,3950,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:07:45Z,cash_in,4500,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:08:02Z,cash_out,13300,"Ambarkhana, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:08:03Z,cash_out,6350,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:08:08Z,cash_in,4400,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:08:11Z,cash_in,3350,"Zindabazar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:08:20Z,cash_in,700,"Shahjalal Uposhahar, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:08:45Z,cash_in,1550,"Shahjalal Uposhahar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:09:03Z,cash_in,1250,"Shahjalal Uposhahar, Sylhet",completed,0,normal
nagad_sim,2026-07-08T09:09:16Z,cash_in,2650,"Ambarkhana, Sylhet",completed,0,normal
rocket_sim,2026-07-08T09:09:56Z,cash_out,4750,"Zindabazar, Sylhet",completed,0,normal
bkash_sim,2026-07-08T09:10:22Z,cash_in,950,"Zindabazar, Sylhet",completed,0,normal
